null,1,1,1,Diterima,null,null
null,1,2,2,Diterima,null,null
null,1,3,3,Diterima,null,null
null,1,4,4,Diterima,null,null
null,1,5,5,Diterima,null,null
null,1,6,6,Diterima,null,null
null,1,7,7,Diterima,null,null
null,1,8,8,Diterima,null,null
null,1,9,9,Diterima,null,null
null,1,10,10,Diterima,null,null
null,1,11,11,Diterima,null,null
null,1,12,12,Diterima,null,null
null,1,13,13,Diterima,null,null
null,1,14,14,Diterima,null,null
null,1,15,15,Diterima,null,null
null,1,16,16,Diterima,null,null
null,1,17,17,Diterima,null,null
null,1,18,18,Diterima,null,null
null,1,19,19,Diterima,null,null
null,1,20,20,Diterima,null,null
null,1,21,21,Diterima,null,null
null,1,22,22,Diterima,null,null
null,1,23,23,Diterima,null,null
null,1,24,24,Diterima,null,null
null,1,25,25,Diterima,null,null
null,1,26,26,Diterima,null,null
null,1,27,27,Diterima,null,null
null,1,28,28,Diterima,null,null
null,1,29,29,Diterima,null,null
null,1,30,30,Diterima,null,null
null,1,31,31,Diterima,null,null
null,1,32,32,Diterima,null,null
null,1,33,33,Diterima,null,null
null,1,34,34,Diterima,null,null
null,1,35,35,Diterima,null,null
null,1,36,36,Diterima,null,null
null,1,37,37,Diterima,null,null
null,1,38,38,Diterima,null,null
null,1,39,39,Diterima,null,null
null,1,40,40,Diterima,null,null
null,1,1,41,Diterima,null,null
null,1,2,42,Diterima,null,null
null,1,3,43,Diterima,null,null
null,1,4,44,Diterima,null,null
null,1,5,45,Diterima,null,null
null,1,6,46,Diterima,null,null
null,1,7,47,Diterima,null,null
null,1,8,48,Diterima,null,null
null,1,9,49,Diterima,null,null
null,1,10,50,Diterima,null,null
null,1,11,51,Diterima,null,null
null,1,12,52,Diterima,null,null
null,1,13,53,Diterima,null,null
null,1,14,54,Diterima,null,null
null,1,15,55,Diterima,null,null
null,1,16,56,Diterima,null,null
null,1,17,57,Diterima,null,null
null,1,18,58,Diterima,null,null
null,1,19,59,Diterima,null,null
null,1,20,60,Diterima,null,null
null,1,21,61,Diterima,null,null
null,1,22,62,Diterima,null,null
null,1,23,63,Diterima,null,null
null,1,24,64,Diterima,null,null
null,1,25,65,Diterima,null,null
null,1,26,66,Diterima,null,null
null,1,27,67,Diterima,null,null
null,1,28,68,Diterima,null,null
null,1,29,69,Diterima,null,null
null,1,30,70,Diterima,null,null
null,1,31,71,Diterima,null,null
null,1,32,72,Diterima,null,null
null,1,33,73,Diterima,null,null
null,1,34,74,Diterima,null,null
null,1,35,75,Diterima,null,null
null,1,36,76,Diterima,null,null
null,1,37,77,Diterima,null,null
null,1,38,78,Diterima,null,null
null,1,39,79,Diterima,null,null
null,1,40,80,Diterima,null,null
null,1,1,81,Diterima,null,null
null,1,2,82,Diterima,null,null
null,1,3,83,Diterima,null,null
null,1,4,84,Diterima,null,null
null,1,5,85,Diterima,null,null
null,1,6,86,Diterima,null,null
null,1,7,87,Diterima,null,null
null,1,8,88,Diterima,null,null
null,1,9,89,Diterima,null,null
null,1,10,90,Diterima,null,null
null,1,11,91,Diterima,null,null
null,1,12,92,Diterima,null,null
